n,iteration,execution_time
10,1,0.0007541179656982422
10,2,0.0002789497375488281
10,3,0.00023102760314941406
10,4,0.0002090930938720703
10,5,0.0002999305725097656
10,6,0.0004620552062988281
10,7,0.00022220611572265625
10,8,0.00019359588623046875
10,9,0.0006227493286132812
10,10,0.0002989768981933594
10,11,0.0005540847778320312
10,12,0.00010800361633300781
10,13,0.000637054443359375
10,14,0.0009188652038574219
10,15,0.0002589225769042969
10,16,0.0002830028533935547
10,17,0.0005979537963867188
10,18,0.0001251697540283203
10,19,0.0002472400665283203
10,20,0.00033593177795410156
10,21,0.00029468536376953125
10,22,0.0001571178436279297
10,23,0.00014710426330566406
10,24,0.00014638900756835938
10,25,0.000141143798828125
10,26,0.00020003318786621094
10,27,0.00019621849060058594
10,28,0.0003960132598876953
10,29,0.000186920166015625
10,30,0.0004291534423828125
10,31,0.0001621246337890625
10,32,0.00019502639770507812
10,33,0.00016021728515625
10,34,0.00014591217041015625
10,35,0.00016260147094726562
10,36,0.0002110004425048828
10,37,0.00013494491577148438
10,38,0.0002028942108154297
10,39,0.0004050731658935547
10,40,0.00038504600524902344
10,41,0.0004661083221435547
10,42,0.00016188621520996094
10,43,0.0001289844512939453
10,44,0.00022792816162109375
10,45,0.0005450248718261719
10,46,0.00033211708068847656
10,47,0.0002498626708984375
10,48,0.00020003318786621094
10,49,0.000186920166015625
10,50,0.00011324882507324219
10,51,0.00012922286987304688
10,52,0.00024175643920898438
10,53,0.00014519691467285156
10,54,0.0001480579376220703
10,55,0.00026416778564453125
10,56,0.00013017654418945312
10,57,0.000263214111328125
10,58,0.000141143798828125
10,59,0.0003571510314941406
10,60,0.00016617774963378906
10,61,0.0001010894775390625
10,62,0.00022602081298828125
10,63,0.00036978721618652344
10,64,0.00018930435180664062
10,65,9.703636169433594e-05
10,66,0.0002570152282714844
10,67,0.0002796649932861328
10,68,0.00012683868408203125
10,69,6.985664367675781e-05
10,70,2.8848648071289062e-05
10,71,0.0001728534698486328
10,72,0.0003151893615722656
10,73,7.295608520507812e-05
10,74,0.00010776519775390625
10,75,5.6743621826171875e-05
10,76,0.00016999244689941406
10,77,0.00012993812561035156
10,78,9.393692016601562e-05
10,79,0.00028395652770996094
10,80,0.00019097328186035156
10,81,0.00030159950256347656
10,82,0.0001850128173828125
10,83,0.0001010894775390625
10,84,0.0003688335418701172
10,85,0.0001678466796875
10,86,7.200241088867188e-05
10,87,0.00028395652770996094
10,88,0.00038814544677734375
10,89,0.00036215782165527344
10,90,0.000354766845703125
10,91,0.00022983551025390625
10,92,0.00038909912109375
10,93,0.0002276897430419922
10,94,0.00024390220642089844
10,95,0.0004830360412597656
10,96,0.0003979206085205078
10,97,0.0001842975616455078
10,98,0.00045800209045410156
10,99,0.0004229545593261719
10,100,0.000141143798828125
20,1,0.0011472702026367188
20,2,0.001191854476928711
20,3,0.0015861988067626953
20,4,0.0030519962310791016
20,5,0.0014810562133789062
20,6,0.0019278526306152344
20,7,0.0015637874603271484
20,8,0.0011928081512451172
20,9,0.0019037723541259766
20,10,0.0013568401336669922
20,11,0.000942230224609375
20,12,0.003256082534790039
20,13,0.0009779930114746094
20,14,0.0017058849334716797
20,15,0.001531839370727539
20,16,0.001085042953491211
20,17,0.0012989044189453125
20,18,0.004165172576904297
20,19,0.0036890506744384766
20,20,0.0015149116516113281
20,21,0.0050890445709228516
20,22,0.0013611316680908203
20,23,0.0012903213500976562
20,24,0.0010442733764648438
20,25,0.0018548965454101562
20,26,0.0010690689086914062
20,27,0.0011301040649414062
20,28,0.00430607795715332
20,29,0.001194000244140625
20,30,0.0010831356048583984
20,31,0.003187894821166992
20,32,0.0012459754943847656
20,33,0.0030803680419921875
20,34,0.0009620189666748047
20,35,0.0011849403381347656
20,36,0.0014116764068603516
20,37,0.0017290115356445312
20,38,0.0014979839324951172
20,39,0.001055002212524414
20,40,0.0011529922485351562
20,41,0.0010218620300292969
20,42,0.0010991096496582031
20,43,0.0008587837219238281
20,44,0.004015207290649414
20,45,0.0015437602996826172
20,46,0.0013871192932128906
20,47,0.0008440017700195312
20,48,0.0035300254821777344
20,49,0.0044782161712646484
20,50,0.0011222362518310547
20,51,0.003661632537841797
20,52,0.0011200904846191406
20,53,0.0013508796691894531
20,54,0.004053831100463867
20,55,0.0037012100219726562
20,56,0.0013251304626464844
20,57,0.0014650821685791016
20,58,0.001190185546875
20,59,0.0015528202056884766
20,60,0.003754854202270508
20,61,0.0035719871520996094
20,62,0.0011279582977294922
20,63,0.0010929107666015625
20,64,0.001584768295288086
20,65,0.0006988048553466797
20,66,0.001483917236328125
20,67,0.0012810230255126953
20,68,0.0014238357543945312
20,69,0.0008840560913085938
20,70,0.0015430450439453125
20,71,0.0016410350799560547
20,72,0.0010440349578857422
20,73,0.002786874771118164
20,74,0.0013401508331298828
20,75,0.0017790794372558594
20,76,0.0018610954284667969
20,77,0.0015301704406738281
20,78,0.0012519359588623047
20,79,0.0014009475708007812
20,80,0.003815174102783203
20,81,0.0015332698822021484
20,82,0.006053924560546875
20,83,0.0012459754943847656
20,84,0.003220081329345703
20,85,0.002171039581298828
20,86,0.0012595653533935547
20,87,0.0010559558868408203
20,88,0.004423856735229492
20,89,0.0012469291687011719
20,90,0.003587007522583008
20,91,0.0038688182830810547
20,92,0.0012021064758300781
20,93,0.0008029937744140625
20,94,0.0013241767883300781
20,95,0.003596067428588867
20,96,0.0012979507446289062
20,97,0.0015790462493896484
20,98,0.002796173095703125
20,99,0.004062175750732422
20,100,0.0017473697662353516
40,1,0.041439056396484375
40,2,0.04578423500061035
40,3,0.012131690979003906
40,4,0.01430821418762207
40,5,0.009805917739868164
40,6,0.012549877166748047
40,7,0.013720989227294922
40,8,0.013470172882080078
40,9,0.0135650634765625
40,10,0.02689385414123535
40,11,0.008008003234863281
40,12,0.010969161987304688
40,13,0.014078140258789062
40,14,0.013654947280883789
40,15,0.04704689979553223
40,16,0.012320995330810547
40,17,0.038849830627441406
40,18,0.011369943618774414
40,19,0.008386850357055664
40,20,0.010824203491210938
40,21,0.012413978576660156
40,22,0.011031150817871094
40,23,0.03985309600830078
40,24,0.008208751678466797
40,25,0.010611772537231445
40,26,0.008956193923950195
40,27,0.012171030044555664
40,28,0.013030052185058594
40,29,0.012546777725219727
40,30,0.043288230895996094
40,31,0.02541327476501465
40,32,0.012980937957763672
40,33,0.010133981704711914
40,34,0.014315128326416016
40,35,0.01016688346862793
40,36,0.010914087295532227
40,37,0.008301019668579102
40,38,0.012598037719726562
40,39,0.013734102249145508
40,40,0.01141810417175293
40,41,0.043010711669921875
40,42,0.013325214385986328
40,43,0.010619878768920898
40,44,0.012037992477416992
40,45,0.0338587760925293
40,46,0.0413670539855957
40,47,0.01260232925415039
40,48,0.011762142181396484
40,49,0.011445999145507812
40,50,0.014370203018188477
40,51,0.049089908599853516
40,52,0.011367321014404297
40,53,0.030709028244018555
40,54,0.01218104362487793
40,55,0.007050037384033203
40,56,0.01007533073425293
40,57,0.013176202774047852
40,58,0.013956069946289062
40,59,0.008998870849609375
40,60,0.012257099151611328
40,61,0.014282703399658203
40,62,0.012663841247558594
40,63,0.012208223342895508
40,64,0.013907909393310547
40,65,0.012731790542602539
40,66,0.014507055282592773
40,67,0.012915849685668945
40,68,0.013392925262451172
40,69,0.007751941680908203
40,70,0.009617805480957031
40,71,0.04248690605163574
40,72,0.015555858612060547
40,73,0.07014799118041992
40,74,0.011929988861083984
40,75,0.049841880798339844
40,76,0.01206517219543457
40,77,0.026759862899780273
40,78,0.013317108154296875
40,79,0.033905029296875
40,80,0.008810997009277344
40,81,0.010669231414794922
40,82,0.013686180114746094
40,83,0.03026294708251953
40,84,0.026474952697753906
40,85,0.043756961822509766
40,86,0.013554096221923828
40,87,0.01414799690246582
40,88,0.012309074401855469
40,89,0.042211055755615234
40,90,0.013005971908569336
40,91,0.030020952224731445
40,92,0.010703086853027344
40,93,0.009063005447387695
40,94,0.013489723205566406
40,95,0.009348154067993164
40,96,0.046993255615234375
40,97,0.008563995361328125
40,98,0.042250871658325195
40,99,0.01061701774597168
40,100,0.010344982147216797
100,1,0.1870582103729248
100,2,0.13715887069702148
100,3,0.17961907386779785
100,4,0.17271089553833008
100,5,0.1953442096710205
100,6,0.14898896217346191
100,7,0.13613414764404297
100,8,0.1588730812072754
100,9,0.2693190574645996
100,10,0.1687638759613037
100,11,0.1760721206665039
100,12,0.16932082176208496
100,13,0.17008519172668457
100,14,0.1948537826538086
100,15,0.18408870697021484
100,16,0.1332988739013672
100,17,0.19224309921264648
100,18,0.15610194206237793
100,19,0.15437793731689453
100,20,0.140272855758667
100,21,0.17433404922485352
100,22,0.19316887855529785
100,23,0.19969415664672852
100,24,0.17438220977783203
100,25,0.14984607696533203
100,26,0.16315579414367676
100,27,0.19423699378967285
100,28,0.14442205429077148
100,29,0.18193626403808594
100,30,0.1785118579864502
100,31,0.16682076454162598
100,32,0.176530122756958
100,33,0.18932175636291504
100,34,0.14383697509765625
100,35,0.20910120010375977
100,36,0.17459821701049805
100,37,0.14132404327392578
100,38,0.1629037857055664
100,39,0.30940699577331543
100,40,0.16704511642456055
100,41,0.1749579906463623
100,42,0.13503098487854004
100,43,0.20307517051696777
100,44,0.5549709796905518
100,45,0.18271303176879883
100,46,0.1655879020690918
100,47,0.1658928394317627
100,48,0.13225007057189941
100,49,0.15744876861572266
100,50,0.15712690353393555
100,51,0.17471885681152344
100,52,0.15248680114746094
100,53,0.17809200286865234
100,54,0.24050402641296387
100,55,0.20859003067016602
100,56,0.14136695861816406
100,57,0.16052579879760742
100,58,0.19961118698120117
100,59,0.16437005996704102
100,60,0.16723299026489258
100,61,0.16989898681640625
100,62,0.14017581939697266
100,63,0.20966601371765137
100,64,0.18557381629943848
100,65,0.16982483863830566
100,66,0.1900160312652588
100,67,0.12542200088500977
100,68,0.17549705505371094
100,69,0.7255330085754395
100,70,0.1747579574584961
100,71,0.13022065162658691
100,72,0.13630390167236328
100,73,0.1261429786682129
100,74,0.19258809089660645
100,75,0.12923383712768555
100,76,0.15804290771484375
100,77,0.1711738109588623
100,78,0.18365883827209473
100,79,0.16776204109191895
100,80,0.1730799674987793
100,81,0.17212605476379395
100,82,0.1955852508544922
100,83,0.15853500366210938
100,84,0.16666412353515625
100,85,0.17840981483459473
100,86,0.15835809707641602
100,87,0.3465728759765625
100,88,0.14866304397583008
100,89,0.16217398643493652
100,90,0.18057584762573242
100,91,0.20041918754577637
100,92,0.18190288543701172
100,93,0.13882207870483398
100,94,0.15847396850585938
100,95,0.22840189933776855
100,96,0.17596220970153809
100,97,0.3425018787384033
100,98,0.1866312026977539
100,99,0.2700190544128418
100,100,0.20706892013549805
