n,iteration,execution_time
10,1,0.00021600723266601562
10,2,0.00034117698669433594
10,3,0.00022983551025390625
10,4,8.606910705566406e-05
10,5,0.00015211105346679688
10,6,0.0003230571746826172
10,7,0.00014901161193847656
10,8,0.00013899803161621094
10,9,4.100799560546875e-05
10,10,0.0001800060272216797
10,11,0.00010800361633300781
10,12,0.0002257823944091797
10,13,0.00015997886657714844
10,14,0.00037288665771484375
10,15,0.0001609325408935547
10,16,0.00013780593872070312
10,17,0.00014400482177734375
10,18,6.604194641113281e-05
10,19,0.00010418891906738281
10,20,0.00011706352233886719
10,21,7.700920104980469e-05
10,22,0.00014090538024902344
10,23,0.00010800361633300781
10,24,0.000308990478515625
10,25,0.00011110305786132812
10,26,0.0002079010009765625
10,27,8.487701416015625e-05
10,28,7.891654968261719e-05
10,29,0.00010800361633300781
10,30,8.225440979003906e-05
10,31,0.00011587142944335938
10,32,0.00018405914306640625
10,33,0.00010991096496582031
10,34,0.00018596649169921875
10,35,5.1021575927734375e-05
10,36,0.0001678466796875
10,37,9.512901306152344e-05
10,38,0.00013303756713867188
10,39,0.00011968612670898438
10,40,3.4809112548828125e-05
10,41,0.00011515617370605469
10,42,9.489059448242188e-05
10,43,7.295608520507812e-05
10,44,9.179115295410156e-05
10,45,0.00017690658569335938
10,46,0.00010538101196289062
10,47,8.702278137207031e-05
10,48,8.797645568847656e-05
10,49,0.00015783309936523438
10,50,8.58306884765625e-05
10,51,8.797645568847656e-05
10,52,0.00011014938354492188
10,53,0.00011086463928222656
10,54,4.38690185546875e-05
10,55,0.00021219253540039062
10,56,0.00011515617370605469
10,57,8.678436279296875e-05
10,58,0.000125885009765625
10,59,9.799003601074219e-05
10,60,4.8160552978515625e-05
10,61,0.00010800361633300781
10,62,0.00013899803161621094
10,63,9.608268737792969e-05
10,64,8.0108642578125e-05
10,65,8.702278137207031e-05
10,66,0.00013065338134765625
10,67,0.0001270771026611328
10,68,7.677078247070312e-05
10,69,3.3855438232421875e-05
10,70,3.504753112792969e-05
10,71,6.198883056640625e-05
10,72,0.00011491775512695312
10,73,5.1021575927734375e-05
10,74,3.075599670410156e-05
10,75,3.695487976074219e-05
10,76,0.00011277198791503906
10,77,6.985664367675781e-05
10,78,8.0108642578125e-05
10,79,0.0001380443572998047
10,80,0.00017404556274414062
10,81,0.00011229515075683594
10,82,0.00010395050048828125
10,83,9.703636169433594e-05
10,84,0.00013899803161621094
10,85,0.00010800361633300781
10,86,3.409385681152344e-05
10,87,8.273124694824219e-05
10,88,9.083747863769531e-05
10,89,8.96453857421875e-05
10,90,0.00012993812561035156
10,91,0.00011396408081054688
10,92,5.602836608886719e-05
10,93,0.00011110305786132812
10,94,0.00010800361633300781
10,95,7.796287536621094e-05
10,96,0.00010704994201660156
10,97,4.8160552978515625e-05
10,98,4.601478576660156e-05
10,99,6.4849853515625e-05
10,100,0.0001518726348876953
20,1,0.0013990402221679688
20,2,0.0011391639709472656
20,3,0.001222848892211914
20,4,0.0005681514739990234
20,5,0.0009808540344238281
20,6,0.001931905746459961
20,7,0.0009450912475585938
20,8,0.0020809173583984375
20,9,0.000637054443359375
20,10,0.0008409023284912109
20,11,0.0009169578552246094
20,12,0.0005900859832763672
20,13,0.001111745834350586
20,14,0.0009338855743408203
20,15,0.0010030269622802734
20,16,0.0006761550903320312
20,17,0.0011298656463623047
20,18,0.00032830238342285156
20,19,0.0007596015930175781
20,20,0.0009417533874511719
20,21,0.0011200904846191406
20,22,0.0014901161193847656
20,23,0.0006251335144042969
20,24,0.0009119510650634766
20,25,0.0010669231414794922
20,26,0.0011301040649414062
20,27,0.0005488395690917969
20,28,0.0007457733154296875
20,29,0.0008511543273925781
20,30,0.0009663105010986328
20,31,0.0007617473602294922
20,32,0.001413106918334961
20,33,0.0012784004211425781
20,34,0.0006940364837646484
20,35,0.0006647109985351562
20,36,0.0008599758148193359
20,37,0.000743865966796875
20,38,0.0006020069122314453
20,39,0.00145721435546875
20,40,0.0008227825164794922
20,41,0.0010890960693359375
20,42,0.0005269050598144531
20,43,0.0006539821624755859
20,44,0.0009238719940185547
20,45,0.0007319450378417969
20,46,0.001207113265991211
20,47,0.0012028217315673828
20,48,0.0005037784576416016
20,49,0.0009379386901855469
20,50,0.0008623600006103516
20,51,0.0009300708770751953
20,52,0.0007050037384033203
20,53,0.0007998943328857422
20,54,0.001110076904296875
20,55,0.00041604042053222656
20,56,0.0008687973022460938
20,57,0.0009181499481201172
20,58,0.0005817413330078125
20,59,0.0011379718780517578
20,60,0.0006928443908691406
20,61,0.0006136894226074219
20,62,0.0007412433624267578
20,63,0.0008833408355712891
20,64,0.0011649131774902344
20,65,0.0004630088806152344
20,66,0.0009839534759521484
20,67,0.0014410018920898438
20,68,0.0007219314575195312
20,69,0.0007340908050537109
20,70,0.0008249282836914062
20,71,0.0010707378387451172
20,72,0.0017237663269042969
20,73,0.0009500980377197266
20,74,0.0010409355163574219
20,75,0.0004220008850097656
20,76,0.0011088848114013672
20,77,0.0006558895111083984
20,78,0.0012030601501464844
20,79,0.0007419586181640625
20,80,0.0009090900421142578
20,81,0.0012693405151367188
20,82,0.0005240440368652344
20,83,0.0003991127014160156
20,84,0.0007889270782470703
20,85,0.0009720325469970703
20,86,0.0012249946594238281
20,87,0.0008976459503173828
20,88,0.0006399154663085938
20,89,0.0006372928619384766
20,90,0.0005970001220703125
20,91,0.0008251667022705078
20,92,0.0006072521209716797
20,93,0.0005948543548583984
20,94,0.0007460117340087891
20,95,0.0006899833679199219
20,96,0.00038814544677734375
20,97,0.0011188983917236328
20,98,0.0007712841033935547
20,99,0.0006914138793945312
20,100,0.0005660057067871094
40,1,0.011236190795898438
40,2,0.008205175399780273
40,3,0.011607170104980469
40,4,0.008647918701171875
40,5,0.003383159637451172
40,6,0.010154008865356445
40,7,0.009004592895507812
40,8,0.00876164436340332
40,9,0.009567022323608398
40,10,0.012041091918945312
40,11,0.007815837860107422
40,12,0.007218122482299805
40,13,0.008703947067260742
40,14,0.012852907180786133
40,15,0.004189968109130859
40,16,0.01027989387512207
40,17,0.008363962173461914
40,18,0.011458158493041992
40,19,0.007783174514770508
40,20,0.007712125778198242
40,21,0.01114797592163086
40,22,0.013066768646240234
40,23,0.007382869720458984
40,24,0.007052898406982422
40,25,0.013468265533447266
40,26,0.007040977478027344
40,27,0.00940084457397461
40,28,0.012198925018310547
40,29,0.019317626953125
40,30,0.010609149932861328
40,31,0.006597757339477539
40,32,0.01102304458618164
40,33,0.011887788772583008
40,34,0.011568784713745117
40,35,0.01159214973449707
40,36,0.007136344909667969
40,37,0.005473136901855469
40,38,0.009829044342041016
40,39,0.014222860336303711
40,40,0.009702920913696289
40,41,0.011495828628540039
40,42,0.013113021850585938
40,43,0.007089853286743164
40,44,0.010576009750366211
40,45,0.00929403305053711
40,46,0.011556863784790039
40,47,0.01084280014038086
40,48,0.00966024398803711
40,49,0.008729934692382812
40,50,0.011317968368530273
40,51,0.011493921279907227
40,52,0.0144500732421875
40,53,0.004282712936401367
40,54,0.010162115097045898
40,55,0.007534980773925781
40,56,0.00960397720336914
40,57,0.01732802391052246
40,58,0.01430201530456543
40,59,0.007848978042602539
40,60,0.008208036422729492
40,61,0.01160287857055664
40,62,0.00855398178100586
40,63,0.011494874954223633
40,64,0.010097265243530273
40,65,0.009242773056030273
40,66,0.010953903198242188
40,67,0.010263919830322266
40,68,0.010757923126220703
40,69,0.004781961441040039
40,70,0.006654024124145508
40,71,0.008203983306884766
40,72,0.016513824462890625
40,73,0.02186107635498047
40,74,0.009920120239257812
40,75,0.010850667953491211
40,76,0.009639263153076172
40,77,0.008998870849609375
40,78,0.011605978012084961
40,79,0.006093025207519531
40,80,0.008096933364868164
40,81,0.008241891860961914
40,82,0.012198925018310547
40,83,0.00970911979675293
40,84,0.008182048797607422
40,85,0.0075550079345703125
40,86,0.011822938919067383
40,87,0.013113021850585938
40,88,0.011918067932128906
40,89,0.008074045181274414
40,90,0.009522199630737305
40,91,0.00894618034362793
40,92,0.016039133071899414
40,93,0.006663799285888672
40,94,0.012969970703125
40,95,0.008767366409301758
40,96,0.005984067916870117
40,97,0.012762069702148438
40,98,0.005402088165283203
40,99,0.011960268020629883
40,100,0.0068511962890625
100,1,0.1863696575164795
100,2,0.1520860195159912
100,3,0.21599793434143066
100,4,0.17815494537353516
100,5,0.24402689933776855
100,6,0.17869782447814941
100,7,0.14674091339111328
100,8,0.2220900058746338
100,9,0.2298901081085205
100,10,0.21949481964111328
100,11,0.1168060302734375
100,12,0.2834208011627197
100,13,0.17479681968688965
100,14,0.21107888221740723
100,15,0.16328215599060059
100,16,0.18570423126220703
100,17,0.2398829460144043
100,18,0.24525213241577148
100,19,0.20084190368652344
100,20,0.17912912368774414
100,21,0.19275212287902832
100,22,0.2872660160064697
100,23,0.19365406036376953
100,24,0.23433804512023926
100,25,0.17491412162780762
100,26,0.22739887237548828
100,27,0.2337360382080078
100,28,0.1589980125427246
100,29,0.19478702545166016
100,30,0.20879888534545898
100,31,0.16823387145996094
100,32,0.21226119995117188
100,33,0.2321159839630127
100,34,0.18769502639770508
100,35,0.19447898864746094
100,36,0.16363906860351562
100,37,0.14473915100097656
100,38,0.18515515327453613
100,39,0.23265671730041504
100,40,0.18250799179077148
100,41,0.2243659496307373
100,42,0.21208405494689941
100,43,0.23174595832824707
100,44,0.25054478645324707
100,45,0.19802188873291016
100,46,0.18726205825805664
100,47,0.20247721672058105
100,48,0.13087201118469238
100,49,0.19965386390686035
100,50,0.20030784606933594
100,51,0.18161225318908691
100,52,0.23645401000976562
100,53,0.18166899681091309
100,54,0.1800830364227295
100,55,0.21999692916870117
100,56,0.1688692569732666
100,57,0.14937925338745117
100,58,0.2033979892730713
100,59,0.14107704162597656
100,60,0.1889960765838623
100,61,0.17322492599487305
100,62,0.15837597846984863
100,63,0.23184990882873535
100,64,0.20438003540039062
100,65,0.18014192581176758
100,66,0.20682692527770996
100,67,0.2578608989715576
100,68,0.21520209312438965
100,69,0.15372800827026367
100,70,0.20182013511657715
100,71,0.1628131866455078
100,72,0.2760331630706787
100,73,0.13115501403808594
100,74,0.18834471702575684
100,75,0.17006993293762207
100,76,0.141571044921875
100,77,0.1926891803741455
100,78,0.20656228065490723
100,79,0.15751314163208008
100,80,0.1877460479736328
100,81,0.2452070713043213
100,82,0.21955108642578125
100,83,0.19635605812072754
100,84,0.21891212463378906
100,85,0.18572115898132324
100,86,0.1457061767578125
100,87,0.1476879119873047
100,88,0.2297830581665039
100,89,0.2282240390777588
100,90,0.15372514724731445
100,91,0.20895695686340332
100,92,0.1901078224182129
100,93,0.22673463821411133
100,94,0.17276692390441895
100,95,0.21149206161499023
100,96,0.1995532512664795
100,97,0.3373301029205322
100,98,0.2297379970550537
100,99,0.2432260513305664
100,100,0.31276822090148926
