n,iteration,execution_time
10,1,0.0004420280456542969
10,2,0.0002830028533935547
10,3,0.00024199485778808594
10,4,0.0001239776611328125
10,5,0.00019788742065429688
10,6,7.891654968261719e-05
10,7,0.00018715858459472656
10,8,0.00022864341735839844
10,9,0.0001537799835205078
10,10,0.00023889541625976562
10,11,0.0002429485321044922
10,12,0.0003120899200439453
10,13,0.0005667209625244141
10,14,0.0002770423889160156
10,15,0.0002486705780029297
10,16,0.00022912025451660156
10,17,0.0002219676971435547
10,18,0.00015211105346679688
10,19,0.00030159950256347656
10,20,0.00028896331787109375
10,21,0.00024509429931640625
10,22,0.0001270771026611328
10,23,0.00016927719116210938
10,24,0.00026106834411621094
10,25,0.0001201629638671875
10,26,0.00021982192993164062
10,27,0.0001327991485595703
10,28,0.00012874603271484375
10,29,9.608268737792969e-05
10,30,0.00010085105895996094
10,31,0.00011587142944335938
10,32,0.00020885467529296875
10,33,0.00018215179443359375
10,34,0.00022602081298828125
10,35,0.00014328956604003906
10,36,0.0002219676971435547
10,37,0.00021982192993164062
10,38,0.00012493133544921875
10,39,0.000225067138671875
10,40,5.793571472167969e-05
10,41,0.0001800060272216797
10,42,0.00016927719116210938
10,43,0.00010204315185546875
10,44,0.00013518333435058594
10,45,0.00021886825561523438
10,46,0.0002288818359375
10,47,0.00014591217041015625
10,48,0.00013589859008789062
10,49,0.00017309188842773438
10,50,0.0001761913299560547
10,51,0.00017523765563964844
10,52,0.00018906593322753906
10,53,0.0002009868621826172
10,54,0.00015211105346679688
10,55,0.0002532005310058594
10,56,0.00015425682067871094
10,57,0.00018835067749023438
10,58,0.00018715858459472656
10,59,0.00021886825561523438
10,60,0.0001010894775390625
10,61,0.00011920928955078125
10,62,0.00019788742065429688
10,63,0.00011801719665527344
10,64,0.0001621246337890625
10,65,9.202957153320312e-05
10,66,0.00022482872009277344
10,67,0.0002460479736328125
10,68,0.00018906593322753906
10,69,6.818771362304688e-05
10,70,3.2901763916015625e-05
10,71,0.00010609626770019531
10,72,0.00012373924255371094
10,73,6.67572021484375e-05
10,74,6.604194641113281e-05
10,75,0.00010013580322265625
10,76,0.0001583099365234375
10,77,0.00013399124145507812
10,78,0.00011491775512695312
10,79,0.0001647472381591797
10,80,0.00018310546875
10,81,0.0001380443572998047
10,82,0.00020122528076171875
10,83,0.0001430511474609375
10,84,0.000125885009765625
10,85,0.00023293495178222656
10,86,6.628036499023438e-05
10,87,0.0002696514129638672
10,88,0.00018215179443359375
10,89,0.00015306472778320312
10,90,0.00014400482177734375
10,91,0.00020194053649902344
10,92,9.298324584960938e-05
10,93,0.00021886825561523438
10,94,0.0001609325408935547
10,95,0.0001418590545654297
10,96,0.0001647472381591797
10,97,0.0002040863037109375
10,98,0.00010919570922851562
10,99,0.0001049041748046875
10,100,0.00016307830810546875
20,1,0.0008471012115478516
20,2,0.0010190010070800781
20,3,0.0013551712036132812
20,4,0.0007088184356689453
20,5,0.0006911754608154297
20,6,0.0008797645568847656
20,7,0.0009379386901855469
20,8,0.0011138916015625
20,9,0.0011272430419921875
20,10,0.0006878376007080078
20,11,0.0009818077087402344
20,12,0.0007588863372802734
20,13,0.0007197856903076172
20,14,0.0010039806365966797
20,15,0.0011091232299804688
20,16,0.0005240440368652344
20,17,0.0009448528289794922
20,18,0.0008733272552490234
20,19,0.0011909008026123047
20,20,0.0009307861328125
20,21,0.001055002212524414
20,22,0.0015132427215576172
20,23,0.0007822513580322266
20,24,0.0011010169982910156
20,25,0.0013120174407958984
20,26,0.0007288455963134766
20,27,0.0003447532653808594
20,28,0.0008800029754638672
20,29,0.0007681846618652344
20,30,0.0009307861328125
20,31,0.0007910728454589844
20,32,0.0013649463653564453
20,33,0.0007622241973876953
20,34,0.0004909038543701172
20,35,0.0006089210510253906
20,36,0.0012469291687011719
20,37,0.0007429122924804688
20,38,0.0007631778717041016
20,39,0.0011818408966064453
20,40,0.0009281635284423828
20,41,0.0005359649658203125
20,42,0.0009751319885253906
