n,iteration,execution_time
10,1,8.130073547363281e-05
10,2,7.605552673339844e-05
10,3,0.00011205673217773438
10,4,9.369850158691406e-05
10,5,0.00033855438232421875
10,6,8.368492126464844e-05
10,7,6.961822509765625e-05
10,8,3.314018249511719e-05
10,9,0.00010991096496582031
10,10,8.344650268554688e-05
10,11,8.749961853027344e-05
10,12,5.53131103515625e-05
10,13,5.1021575927734375e-05
10,14,9.131431579589844e-05
10,15,6.389617919921875e-05
10,16,6.246566772460938e-05
10,17,5.078315734863281e-05
10,18,6.0558319091796875e-05
10,19,0.00015544891357421875
10,20,0.000110626220703125
10,21,0.0003256797790527344
10,22,8.821487426757812e-05
10,23,5.8650970458984375e-05
10,24,6.008148193359375e-05
10,25,8.058547973632812e-05
10,26,4.5299530029296875e-05
10,27,5.14984130859375e-05
10,28,6.961822509765625e-05
10,29,6.699562072753906e-05
10,30,5.602836608886719e-05
10,31,0.00020503997802734375
10,32,0.00014781951904296875
10,33,8.749961853027344e-05
10,34,0.0001308917999267578
10,35,3.743171691894531e-05
10,36,8.702278137207031e-05
10,37,9.1552734375e-05
10,38,7.700920104980469e-05
10,39,0.0001888275146484375
10,40,4.1484832763671875e-05
10,41,8.535385131835938e-05
10,42,5.745887756347656e-05
10,43,3.314018249511719e-05
10,44,6.008148193359375e-05
10,45,6.0558319091796875e-05
10,46,4.839897155761719e-05
10,47,5.3882598876953125e-05
10,48,5.9604644775390625e-05
10,49,5.245208740234375e-05
10,50,5.507469177246094e-05
10,51,3.4332275390625e-05
10,52,7.367134094238281e-05
10,53,0.00012350082397460938
10,54,7.700920104980469e-05
10,55,0.00010371208190917969
10,56,0.0001494884490966797
10,57,0.00012254714965820312
10,58,6.4849853515625e-05
10,59,8.463859558105469e-05
10,60,0.00013899803161621094
10,61,8.58306884765625e-05
10,62,4.935264587402344e-05
10,63,0.00010347366333007812
10,64,5.0067901611328125e-05
10,65,6.437301635742188e-05
10,66,8.225440979003906e-05
10,67,4.673004150390625e-05
10,68,2.574920654296875e-05
10,69,7.033348083496094e-05
10,70,0.000118255615234375
10,71,0.00011014938354492188
10,72,8.916854858398438e-05
10,73,1.6927719116210938e-05
10,74,5.269050598144531e-05
10,75,6.651878356933594e-05
10,76,7.033348083496094e-05
10,77,0.0001201629638671875
10,78,0.00012636184692382812
10,79,5.078315734863281e-05
10,80,9.512901306152344e-05
10,81,6.031990051269531e-05
10,82,0.00013065338134765625
10,83,8.296966552734375e-05
10,84,0.0001461505889892578
10,85,7.2479248046875e-05
10,86,5.364418029785156e-05
10,87,7.724761962890625e-05
10,88,0.00012135505676269531
10,89,2.6941299438476562e-05
10,90,3.528594970703125e-05
10,91,6.723403930664062e-05
10,92,0.00011038780212402344
10,93,8.678436279296875e-05
10,94,6.866455078125e-05
10,95,9.226799011230469e-05
10,96,2.3126602172851562e-05
10,97,8.940696716308594e-05
10,98,4.839897155761719e-05
10,99,6.198883056640625e-05
10,100,7.224082946777344e-05
20,1,0.0011947154998779297
20,2,0.0006952285766601562
20,3,0.0003993511199951172
20,4,0.0008952617645263672
20,5,0.000823974609375
20,6,0.0003743171691894531
20,7,0.00023293495178222656
20,8,0.0010132789611816406
20,9,0.001035451889038086
20,10,0.0006284713745117188
20,11,0.00031304359436035156
20,12,0.0006260871887207031
20,13,0.0008375644683837891
20,14,0.0009224414825439453
20,15,0.0016167163848876953
20,16,0.0004391670227050781
20,17,0.0013813972473144531
20,18,0.0008366107940673828
20,19,0.0010335445404052734
20,20,0.0005636215209960938
20,21,0.00047779083251953125
20,22,0.001016855239868164
20,23,0.00033354759216308594
